Food,Kezayis Quantity,Kezayis Weight (g),Category
American Cheese,1 and 2/3 slices,,Dairy Products
Bamba,7 pieces,6.5 grams,Shehakol Snacks
Candy Corn,26 pieces,40 grams,Candy and Chocolate
Chocolate Bar,about 6 squares,34 grams,Candy and Chocolate
Corn Chips,15 chips,23 grams,Shehakol Snacks
Egg (hard-boiled),1/2 a large egg,27 grams,Prepared Foods
Gum Drops,17 drops,44 grams,Candy and Chocolate
Gummy Worms,10 worms,48 grams,Candy and Chocolate
Hot Dogs,3/4 of a hot dog,43 grams,Prepared Foods
Jelly Beans,30 small jelly beans,37 grams,Candy and Chocolate
Jelly Fish,6 fish,43 grams,Candy and Chocolate
Laffy Taffy,4 taffies,34 grams,Candy and Chocolate
Licorice,3.5 long licorice,40 grams,Candy and Chocolate
Licorice Bites,17 bites,40 grams,Candy and Chocolate
Licorice Nibs,30 nibs,40 grams,Candy and Chocolate
Mike & Ikes,20 pieces,44 grams,Candy and Chocolate
Onion Rings,8 rings,6 grams,Shehakol Snacks
Salami slice,3 thin slices,,Prepared Foods
Tortilla Chips,8 large chips,20 grams,Shehakol Snacks
Yogurt,1 ounce,,Dairy Products
